CellID  Radius         Angle     
15      6.280000       326.300000
16      11.430000      311.800000
17      12.800000      108.210000
18      7.230000       71.080000 
19      8.950000       294.710000
20      11.310000      298.700000
21      9.010000       265.250000
22      9.530000       196.000000
26      8.200000       190.900000
27      16.500000      31.860000 
28      9.830000       230.220000
29      13.840000      213.480000
30      6.130000       112.340000
31      6.810000       237.470000
32      13.840000      264.370000
33      14.240000      70.970000 
34      5.550000       233.510000
38      13.880000      122.910000
39      13.660000      148.520000
40      4.510000       61.350000 
41      15.400000      315.630000
42      8.130000       173.490000
43      8.690000       105.910000
44      5.640000       281.570000
45      12.530000      76.610000 
46      6.060000       238.890000
47      16.650000      291.510000
48      5.880000       295.970000
49      5.730000       93.450000 
52      7.820000       118.120000
53      14.050000      158.420000
54      5.210000       315.160000
55      11.720000      287.980000
56      9.760000       21.580000 
57      6.380000       322.810000
58      6.260000       285.990000
59      8.810000       255.820000
60      13.580000      254.900000
61      9.580000       46.170000 
62      15.320000      169.210000
63      13.170000      127.860000
64      11.480000      124.570000
