CellID  Radius         Angle     
8       4.200000       318.070000
9       14.710000      250.270000
10      14.680000      116.950000
15      0.640000       87.280000 
16      11.130000      276.820000
17      1.790000       287.180000
18      15.380000      52.010000 
19      2.280000       255.190000
20      10.400000      310.800000
21      1.220000       225.870000
22      0.280000       153.810000
26      4.710000       74.460000 
27      0.450000       61.100000 
28      1.460000       197.410000
29      16.640000      68.390000 
30      0.430000       253.430000
31      11.220000      314.440000
32      15.460000      239.770000
33      3.990000       324.440000
34      11.850000      23.060000 
38      6.330000       111.670000
39      8.590000       160.890000
40      14.500000      117.530000
41      13.450000      133.390000
42      6.580000       123.110000
43      7.560000       98.020000 
44      5.100000       50.650000 
45      10.270000      320.420000
46      6.090000       166.650000
47      0.620000       135.020000
48      10.170000      0.440000  
49      10.990000      90.740000 
52      0.140000       43.580000 
53      1.760000       288.260000
54      13.830000      301.150000
55      10.700000      202.510000
56      10.720000      87.710000 
57      14.130000      205.840000
58      14.620000      20.530000 
59      16.550000      255.210000
60      6.360000       117.030000
61      15.450000      218.470000
62      16.670000      191.810000
63      8.750000       252.500000
64      9.690000       64.800000 
67      11.080000      137.500000
68      13.910000      205.370000
69      14.140000      240.030000
70      14.060000      323.830000
71      13.340000      60.130000 
72      1.570000       139.650000
73      14.790000      311.800000
74      6.050000       165.670000
75      9.480000       232.360000
76      3.700000       183.820000
77      12.160000      2.150000  
78      2.720000       132.970000
79      5.900000       297.690000
80      2.410000       101.510000
