CellID  Radius         Angle     
8       13.140000      58.060000 
9       13.710000      115.670000
10      9.590000       24.220000 
15      10.050000      0.800000  
16      10.460000      14.860000 
17      15.490000      35.600000 
18      15.800000      100.980000
19      9.000000       193.630000
20      10.810000      283.310000
21      9.600000       5.640000  
22      8.740000       247.720000
26      15.270000      44.430000 
27      12.120000      32.620000 
28      12.740000      149.190000
29      11.360000      185.010000
30      15.470000      256.310000
31      11.350000      145.620000
32      9.880000       38.040000 
33      15.290000      321.130000
34      12.730000      267.130000
38      14.910000      30.300000 
39      12.250000      142.530000
40      11.890000      58.680000 
41      9.580000       47.920000 
42      12.630000      42.860000 
43      15.900000      46.040000 
44      10.570000      74.180000 
45      8.870000       303.820000
46      9.840000       19.540000 
47      12.500000      304.770000
48      14.100000      51.250000 
49      9.260000       94.590000 
52      12.180000      143.180000
53      11.900000      88.740000 
54      9.190000       59.150000 
55      11.650000      66.560000 
56      12.130000      212.320000
57      14.570000      106.540000
58      10.480000      6.210000  
59      8.970000       155.090000
60      13.700000      262.060000
61      14.520000      0.580000  
62      14.130000      117.290000
63      9.090000       277.000000
64      16.280000      242.690000
67      9.030000       43.070000 
68      9.380000       141.450000
69      16.010000      81.000000 
70      12.830000      67.150000 
71      10.850000      251.540000
72      11.420000      238.980000
73      10.190000      49.740000 
74      12.360000      26.940000 
75      16.120000      200.660000
76      10.930000      271.020000
77      14.150000      21.470000 
78      11.260000      266.100000
79      9.680000       185.820000
80      15.710000      113.150000
