CellID  Radius         Angle     
8       3.640000       49.230000 
9       8.150000       146.360000
10      14.440000      53.810000 
15      6.610000       9.040000  
16      5.400000       19.700000 
17      11.890000      75.910000 
18      8.120000       117.880000
19      4.330000       279.600000
20      4.600000       32.980000 
21      3.760000       72.140000 
22      8.770000       44.330000 
26      1.870000       43.830000 
27      0.540000       277.140000
28      11.390000      181.540000
29      6.010000       182.280000
30      3.100000       183.330000
31      15.740000      138.840000
32      4.940000       201.180000
33      5.750000       28.890000 
34      13.430000      219.920000
38      12.090000      283.330000
39      7.080000       48.640000 
40      14.820000      247.930000
41      4.770000       98.640000 
42      0.910000       24.080000 
43      5.180000       9.070000  
44      9.150000       305.600000
45      16.630000      209.540000
46      13.410000      140.040000
47      8.420000       203.990000
48      11.470000      243.330000
49      8.410000       303.530000
52      1.960000       327.130000
53      3.730000       264.870000
54      6.590000       33.960000 
55      11.340000      251.360000
56      11.440000      131.430000
57      14.020000      194.580000
58      11.340000      125.750000
59      16.400000      24.500000 
60      14.130000      87.040000 
61      1.720000       122.910000
62      7.270000       225.050000
63      8.800000       208.340000
64      14.700000      109.690000
67      10.720000      266.900000
68      11.630000      249.940000
69      8.820000       98.910000 
70      13.250000      61.250000 
71      12.320000      112.890000
72      5.830000       177.900000
73      2.990000       264.100000
74      3.560000       191.290000
75      2.490000       97.190000 
76      6.250000       98.290000 
77      16.970000      66.870000 
78      2.790000       145.130000
79      16.460000      214.720000
80      0.180000       141.960000
